Geom;Label;geo_point_2d
"{""coordinates"": [[-123.0780413999457, 49.214957749613255], [-123.07803796716773, 49.21495775193245]], ""type"": ""LineString""}";;49.214957750772854, -123.07803968355671
"{""coordinates"": [[-123.07803796716773, 49.21495775193245], [-123.07803462288943, 49.21501397469817]], ""type"": ""LineString""}";EASE.;49.214985863315306, -123.07803629502858
"{""coordinates"": [[-123.078149432915, 49.21597457501835], [-123.0781451487571, 49.216305595196815]], ""type"": ""LineString""}";4'  SEW. EASE.;49.21614008510758, -123.07814729083606
"{""coordinates"": [[-123.07164485355996, 49.21421856905312], [-123.07140346052147, 49.21421618185436]], ""type"": ""LineString""}";;49.21421737545374, -123.07152415704071
"{""coordinates"": [[-123.06908868628193, 49.213899552354164], [-123.06900223593134, 49.21393827474845]], ""type"": ""LineString""}";R.O.W.;49.21391891355131, -123.06904546110665
"{""coordinates"": [[-123.06958382509248, 49.21497914769712], [-123.07000813617276, 49.21498294818426]], ""type"": ""LineString""}";R.O.W.;49.21498104794069, -123.0697959806326
"{""coordinates"": [[-123.07167099630114, 49.21501570567877], [-123.07187147405872, 49.215017829934695]], ""type"": ""LineString""}";R.O.W.;49.21501676780673, -123.07177123517995
"{""coordinates"": [[-123.07151093553725, 49.21684544470096], [-123.0716894897474, 49.21687501844111]], ""type"": ""LineString""}";R.O.W.;49.21686023157103, -123.07160021264234
"{""coordinates"": [[-123.0678218227587, 49.21772193861357], [-123.06781211568449, 49.2176526806835]], ""type"": ""LineString""}";R.O.W.;49.21768730964854, -123.0678169692216
"{""coordinates"": [[-123.06940193673847, 49.215004443909685], [-123.07000747463084, 49.21501038419155]], ""type"": ""LineString""}";;49.21500741405062, -123.06970470568464
"{""coordinates"": [[-123.07387161326712, 49.21285643197645], [-123.07223906015231, 49.212852912889005]], ""type"": ""LineString""}";SEW. EASE.;49.21285467243273, -123.07305533670971
"{""coordinates"": [[-123.07330682287804, 49.21021117915001], [-123.07382786386374, 49.21021679318326]], ""type"": ""LineString""}";;49.210213986166636, -123.07356734337087
"{""coordinates"": [[-123.06933872919163, 49.20959293641793], [-123.06933248879518, 49.21002966143847]], ""type"": ""LineString""}";EASE.;49.2098112989282, -123.06933560899341
"{""coordinates"": [[-123.0710065362798, 49.21030168745975], [-123.07117197598784, 49.21030789133712]], ""type"": ""LineString""}";EASE.;49.210304789398435, -123.07108925613382
"{""coordinates"": [[-123.07759348846311, 49.20910489995675], [-123.07758795443867, 49.209077917803455]], ""type"": ""LineString""}";R.O.W.;49.2090914088801, -123.07759072145089
"{""coordinates"": [[-123.06994319954401, 49.21324914688829], [-123.069944476168, 49.2131807909555]], ""type"": ""LineString""}";R.O.W.;49.21321496892189, -123.06994383785603
"{""coordinates"": [[-123.07144963423711, 49.213384998177794], [-123.07132046750925, 49.213316713849004]], ""type"": ""LineString""}";R.O.W.;49.2133508560134, -123.07138505087318
"{""coordinates"": [[-123.06785980602966, 49.21239624242711], [-123.0678084068222, 49.212461938190366]], ""type"": ""LineString""}";;49.21242909030874, -123.06783410642592
"{""coordinates"": [[-123.06779343366124, 49.21245682866225], [-123.06777818575968, 49.21245162034524]], ""type"": ""LineString""}";;49.212454224503745, -123.06778580971047
"{""coordinates"": [[-123.06802238853976, 49.21330736007966], [-123.06807585721134, 49.21324841846917]], ""type"": ""LineString""}";R.O.W.;49.21327788927442, -123.06804912287555
"{""coordinates"": [[-123.06806156968744, 49.21324284981291], [-123.06804700743048, 49.213237191363895]], ""type"": ""LineString""}";;49.2132400205884, -123.06805428855895
"{""coordinates"": [[-123.06861042672162, 49.21357149161005], [-123.0686611681071, 49.21353637985595]], ""type"": ""LineString""}";;49.213553935733, -123.06863579741436
"{""coordinates"": [[-123.06864852500681, 49.213528561474305], [-123.06863644536807, 49.21352110256778]], ""type"": ""LineString""}";;49.213524832021044, -123.06864248518742
"{""coordinates"": [[-123.07151824251241, 49.21145007894294], [-123.07151204967604, 49.211440187962104]], ""type"": ""LineString""}";;49.21144513345252, -123.07151514609423
"{""coordinates"": [[-123.07127038773031, 49.21142279651498], [-123.07127342650169, 49.21114888816253]], ""type"": ""LineString""}";R.O.W.;49.211285842338754, -123.071271907116
"{""coordinates"": [[-123.0678310521508, 49.21146119938673], [-123.0677830796505, 49.21152194572985]], ""type"": ""LineString""}";;49.21149157255829, -123.06780706590064
"{""coordinates"": [[-123.06775354628913, 49.21151207723741], [-123.0678015181887, 49.211450872147225]], ""type"": ""LineString""}";;49.21148147469232, -123.06777753223894
